Building Energy and Water Use Metrics,,,,,,,,,,,,,,,,,,,,,
City of Boston Environment Department - Building Energy Reporting and Disclosure Ordinance,,,,,,,,,,,,,,,,,,,,,
"Energy and water use metrics for large buildings in calendar year 2014, as submitted by buildings for Boston's energy reporting ordinance. For more information, please visit berdo.greenovateboston.org. Field name definitions are on the second tab.",,,,,,,,,,,,,,,,,,,,,
"Oct. 1, 2015",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Solar (kWh),User Submitted Info,User Submitted Link,Tax Parcel
3-5 Cummington Street (616-620 Comm. Ave.),Yes,Laboratory,3-5 Cummington Street (616-620 Comm. Ave.),02215," 149,118 ",166.9,Not applicable to this property type,,Laboratory,1913,1865.6,12.5," 24,885,854 ",50%,50%,0%,12.58,,,,2100350000
37-47 St. Mary's Street,Yes,Multifamily Housing,37-47 St. Mary's Street,02215," 39,130 ",83,82,,Multifamily Housing,1982,178.8,4.6," 3,246,327 ",4%,96%,0%,37.97,,,,Not Available
40-48 Buswell Street,Yes,Residence Hall/Dormitory,40-48 Buswell Street,02215," 58,302 ",127,60,,Residence Hall/Dormitory,1896,431,7.4," 7,405,264 ",12%,88%,0%,44.39,,,,Not Available
42-44 Cummington Street,Yes,Laboratory,42-44 Cummington Street,02215," 96,500 ",260.4,Not applicable to this property type,,Laboratory,1968,1962.2,20.3," 25,130,638 ",57%,43%,0%,24.36,,,,Not Available
512 Beacon Street,Yes,Residence Hall/Dormitory,512 Beacon Street,02215," 70,768 ",88.8,79,2013,Residence Hall/Dormitory,1926,369.7,5.2," 6,280,827 ",13%,87%,0%,41.94,,,,0503696000
514-522 Park Drive,Yes,Residence Hall/Dormitory,514-522 Park Drive,02215," 36,968 ",88.5,84,,Residence Hall/Dormitory,1915,194.3,5.3," 3,272,580 ",14%,86%,0%,35.50,,,,Not Available
565-575 Commonwealth Avenue,Yes,Residence Hall/Dormitory,565-575 Commonwealth Avenue,02215," 87,619 ",Not Available,Not Available,,Residence Hall/Dormitory,1992,578.8,6.6, Not Available ,0%,0%,0%,47.62,,,,050398300
577-599 Commonwealth Avenue (595 Comm Ave),Yes,Office,577-599 Commonwealth Avenue (595 Comm Ave),02215," 481,119 ",94.8,64,,"College/University, Office, Parking",1996,3238.2,7.6," 40,186,541 ",63%,37%,0%,15.19,,,,0503991000
580 Commonwealth Avenue,Yes,Multifamily Housing,580 Commonwealth Avenue,02215," 126,333 ",96.1,2,,Multifamily Housing,2004,904.9,7.2," 12,144,367 ",49%,51%,0%,51.64,,,, 0504140000
582-596 Commonwealth Avenue (590 Comm / 712 Bea),Yes,Laboratory,582-596 Commonwealth Avenue (590 Comm / 712 Bea),02215," 280,838 ",360.4,Not applicable to this property type,,Laboratory,1983,7078.8,25.2," 101,212,941 ",38%,61%,0%,17.36,,,,0504135010
605-615 Commonwealth Avenue (2 Silber Way),Yes,College/University,605-615 Commonwealth Avenue (2 Silber Way),02215," 85,000 ",92.5,Not applicable to this property type,,College/University,1981,521.2,6.1," 7,866,316 ",30%,70%,0%,5.38,,,,0504081000
61 Brookline ave,Yes,Residence Hall/Dormitory,61-65 brookline ave,02215," 95,325 ",95.6,42,,Residence Hall/Dormitory,1930,671.8,7," 9,112,893 ",47%,53%,0%,3.64,,,,Not Available
622-640 Commonwealth Avenue,Yes,College/University,622-640 Commonwealth Avenue,02215," 84,022 ",100.6,Not applicable to this property type,,College/University,1902,602.7,7.2," 8,453,895 ",42%,58%,0%,61.63,,,,2100348000
631-639 Commonwealth Avenue,Yes,College/University,631-639 Commonwealth Avenue,02215," 113,621 ",Not Available,Not applicable to this property type,,College/University,1957,722.4,6.4, Not Available ,0%,0%,0%,11.94,,,,0504089000
645-665 Commonwealth Avenue,Yes,Not Available,645-665 Commonwealth Avenue,02215, -   ,Not Available,Not applicable to this property type,,Parking,1977,0.3,Not Available," 3,116 ",100%,0%,0%,,,Parking will not assign as GFA. ,,2100360001
648 Beacon Street,Yes,Medical Office,648 Beacon Street,02215," 49,950 ",80.4,76,,Medical Office,1942,287.9,5.8," 4,015,178 ",43%,57%,0%,11.34,,,,0503749000
64-86 Cummington Street,Yes,College/University,64-86 Cummington Street,02215," 49,163 ",44.4,Not applicable to this property type,,College/University,1909,195.3,4," 2,184,835 ",67%,0%,0%,5.53,,,,2100281000
660 Beacon Street,Yes,Retail Store,660 Beacon Street,02215," 74,431 ",Not Available,Not Available,,Retail Store,1909,0,0, Not Available ,0%,0%,0%,,,,,0503752000
664 Malvern Street,Yes,Other - Stadium,664 Malvern Street,02215," 73,500 ",0.3,Not applicable to this property type,,Other - Stadium,1962,1.9,0," 19,916 ",100%,0%,0%,4.99,,,,Not Available
675-725 Commonwealth Avenue,Yes,College/University,675-725 Commonwealth Avenue,02215," 328,045 ",122.2,Not applicable to this property type,,College/University,1938,2699.2,8.2," 40,070,907 ",33%,67%,0%,11.82,,"Break off Tsai?
",,25887291000
6-8 St. Mary's Street,Yes,Laboratory,6-8 St. Mary's Street,02215," 289,059 ",279.6,Not applicable to this property type,,Laboratory,1997,5889.9,20.4," 80,821,322 ",45%,55%,0%,27.21,,,,Not Available
700 Commonwealth Avenue,Yes,Residence Hall/Dormitory,700 Commonwealth Avenue,02215," 636,611 ",217.3,4,,"Parking, Residence Hall/Dormitory",1966,6148.9,14.5," 92,333,734 ",31%,69%,0%,,,Break off retail? ,,2100347001
722-728 Commonwealth Avenue,Yes,Residence Hall/Dormitory,722-728 Commonwealth Avenue,02215," 87,469 ",89.6,80,,Residence Hall/Dormitory,1974,461.5,5.3," 7,836,098 ",13%,87%,0%,68.46,,,,Not Available
730-732 Commonwealth Avenue,Yes,Laboratory,730-732 Commonwealth Avenue,02215," 58,264 ",435.5,Not applicable to this property type,,"Laboratory, Parking",1990,1226.4,26.6," 20,041,368 ",19%,81%,0%,12.64,,,,Not Available
745-755 Commonwealth Avenue,Yes,College/University,745-755 Commonwealth Avenue,02215," 114,978 ",138.2,Not applicable to this property type,,College/University,1947,1080,9.4," 15,886,994 ",34%,66%,0%,1.70,,,,25887291000
750 Commonwealth Avenue,Yes,Not Available,Boston University,02215, Not Available ,Not Available,Not applicable to this property type,,Not Available,2013,0,Not Available, Not Available ,0%,0%,0%,,,,,Not Available
765 Commonwealth Avenue,Yes,College/University,765 Commonwealth Avenue,02215," 167,671 ",137.4,Not applicable to this property type,,College/University,1964,1562.2,9.3," 23,043,332 ",34%,66%,0%,1.71,,,,25887291000
771 Commonwealth Avenue,Yes,Library,771 Commonwealth Avenue,02215," 218,657 ",106.7,Not applicable to this property type,,Library,1966,1581.1,7.2," 23,323,947 ",34%,66%,0%,1.32,,,,25887291000
775 Commonwealth Avenue,Yes,College/University,775 Commonwealth Avenue,02215," 202,105 ",Not Available,Not applicable to this property type,,College/University,1963,0,0, Not Available ,0%,0%,0%,,,,,25887291000
785 Commonwealth Avenue (1 University Road),Yes,College/University,785 Commonwealth Avenue (1 University Road),02215," 54,767 ",141.3,Not applicable to this property type,,College/University,1931,504.7,9.2," 7,737,695 ",28%,72%,0%,12.34,,,,2100392000
808 Commonwealth Avenue,Yes,Museum,808 Commonwealth Avenue,02215," 269,337 ",98.8,Not applicable to this property type,,"Museum, Parking",1928,1240,6.2," 19,677,062 ",23%,77%,0%,7.61,,,,Not Available
855 Commonwealth Avenue,Yes,College/University,855 Commonwealth Avenue,02215," 207,318 ",Not Available,Not applicable to this property type,,College/University,1919,1486,7.2, Not Available ,0%,0%,0%,11.29,,,,2100397000
856-862 Beacon Street,Yes,Multifamily Housing,856-862 Beacon Street,02215," 35,364 ",125.9,17,,Multifamily Housing,1985,251.4,7.1," 4,453,573 ",8%,92%,0%,17.86,,,,Not Available
871 Commonwealth Avenue,Yes,College/University,871 Commonwealth Avenue,02215," 95,968 ",99.7,Not applicable to this property type,,College/University,1926,601.3,6.3," 9,571,688 ",22%,78%,0%,7.09,,,,2100398000
881 Commonwealth Avenue,Yes,Office,881 Commonwealth Avenue,02215," 107,773 ",Not Available,Not Available,,"Medical Office, Office",1915,0,0, Not Available ,0%,0%,0%,,,Shares an electricity meter with 10 Buick Street,,2100399000
91 Bay State Road,Yes,Residence Hall/Dormitory,91 Bay State Road,02215," 118,821 ",Not Available,Not Available,2013,Residence Hall/Dormitory,1923,654.5,5.5, Not Available ,0%,0%,0%,46.56,,,,0503743000
915 Commonwealth Avenue,Yes,Fitness Center/Health Club/Gym,915 Commonwealth Avenue,02215," 286,901 ",174.3,Not applicable to this property type,,Fitness Center/Gym,2004,3728,13," 50,006,070 ",49%,51%,0%,26.35,,,,2100401000
925 Commonwealth Avenue,Yes,Indoor Arena,925 Commonwealth Avenue,02215," 548,634 ",154.3,Not applicable to this property type,,"Indoor Arena, Parking",2004,3501.1,11.5," 46,797,288 ",50%,50%,0%,24.93,,,,2100401000
983-985 Commonwealth Avenue,Yes,Office,983-985 Commonwealth Avenue,02215," 36,865 ",157.3,13,,Office,1981,429.9,11.7," 5,799,373 ",48%,52%,0%,5.62,,,,Not Available
Activities Building,Yes,College/University,180 Riverway,02215," 98,044 ",61.3,Not applicable to this property type,,College/University,1967,510.9,5.2," 6,010,717 ",73%,27%,0%,23.70,,,,0402000000
ARTS ACADEMY,Municipal,K-12 School,174 Ipswich St.,02215," 129,800 ",65.5,59,,K-12 School,1998,592.4, 4.6 ," 8,501,116 ",38%,62%,0%,0.62,,,,
Babcock Tower,Yes,Multifamily Housing,270 Babcock Street,02215," 181,040 ",85.7,9,,"Multifamily Housing, Parking",1972,1117.9,7.2," 13,316,043 ",71%,29%,0%,44.14,,,,2100470000
Back Bay Maitenence,Municipal,Other,440 Park Dr,02215," 10,822 ",52,Not applicable to this property type,,Other,2000,36.7, 3.4 ," 563,143 ",28%,72%,0%,0.29,,,,
BIDMC East && West Campus,Yes,Hospital (General Medical & Surgical),330 Brookline Ave.,02215," 2,921,603 ",322.7,Not Available,,"Hospital (General Medical & Surgical), Laboratory, Parking",1975,56693.7,22.7," 806,023,761 ",28%,0%,46%,24.51,,"East & West Campus building meter data is combined.// BIDMC is reporting on Parcel ID 0401944000 which BIDMC owns (not NEDH Corp as per Boston Assessing Dept records). The parcel contains several buildings and is part of the West Campus.// BIDMC’s energy use/SF and Energy Star score reflect our energy intensive patient care and substantial lab research uses that have fresh air needs that drive up Btu/sf. BIDMC buys energy products from a district combined heat and power plant; such cogen energy savings is not reflected in this energy reporting platform. While new medical equipment and higher intensity clinical uses tend to increase hospital energy needs incrementally, BIDMC invests hundreds of thousands of dollars annually on energy savings projects (excluding LDC incentives). Due to projects undertaken since 2004, BIDMC saves  95,020 million Btu and 2,200 KCF of water a year.  For more information see the Green Ribbon Commission at http://www.greenribboncommission.org/health-care.",,0401862000 0401861000 0401944000 0401954000 0401964001 0401942000
BIDMC Research North,Yes,Laboratory,95 Brookline Ave,02215," 114,681 ",322.4,Not applicable to this property type,,Laboratory,1994,2822.6,24.6," 36,974,662 ",53%,47%,0%,27.35,,,,2100067000
Boston location,Yes,Urgent Care/Clinic/Other Outpatient,1055 Commonwealth Ave,02215," 63,930 ",119.5,Not applicable to this property type,,"Parking, Urgent Care/Clinic/Outpatient",1920,372.5,8.7," 5,097,692 ",46%,54%,0%,9.81,,,,2100473000
Boylston,Yes,Multifamily Housing,1163 Boylston St,02215," 174,700 ",124.8,23,,Multifamily Housing,1920,1412.1,8.1," 21,809,187 ",27%,73%,0%,67.10,,,,0504178000
Braemore Condominium,Yes,Not Available,464-466 Commonwealth Avenue,02215, Not Available ,Not Available,Not Available,,Not Available,1982,0,Not Available, Not Available ,0%,0%,0%,,,,,0503916000
Campus Center and Student Residence,Yes,Residence Hall/Dormitory,150 Riverway,02215," 58,000 ",112.4,79,,Residence Hall/Dormitory,2008,346.5,6," 6,521,539 ",0%,100%,0%,0.96,,,,0402000000
Cyprus,Yes,Multifamily Housing,829 833 Beacon St,02215," 51,634 ",67.2,Not Available,,"Multifamily Housing, Office",1920,214.2,4.1," 3,467,516 ",20%,80%,0%,,,,,2100170000
DFCI - Dana Building,Yes,Other,44 Binney st,02215," 462,085 ",392.8,Not applicable to this property type,,"Other, Parking",1975,11129.8,27.5," 159,161,798 ",28%,0%,43%,14.67,,"Dana Building
Correct Gross Square Feet is 405,175.
",,401913000
DFCI - Jimmy Fund Building,Yes,Other,35 Binney Street,02215," 101,514 ",603.6,Not applicable to this property type,,Other,1952,4263.9,42," 61,271,299 ",25%,0%,50%,52.33,,Jimmy Fund Building,,401898000
DFCI - Mayer Building,Yes,Other,420 Brookline Ave,02215," 121,516 ",418.2,Not applicable to this property type,,Other,1986,3611.8,29.7," 50,814,396 ",32%,0%,41%,27.23,,,,Not Available
DFCI - Smith Building,Yes,Other,1 Jimmy Fund Way,02215," 455,582 ",619.6,Not applicable to this property type,,"Other, Parking",1995,13734.2,41.8," 203,362,178 ",20%,0%,49%,98.54,,"Smith Building
",,401919000
DFCI - Yawkey Building,Yes,Medical Office,450 Brookline ave,02215," 291,451 ",413.7,4,,Medical Office,2010,8350.5,28.7," 120,585,848 ",25%,0%,46%,15.91,,,,401916000
Family Justice Center,Municipal,Social/Meeting Hall,989 Commonwealth Ave,02215," 35,000 ",Not Available,Not applicable to this property type,,Social/Meeting Hall,2000,Not Available, Not Available , Not Available ,0%,0%,0%,1.12,,,,
Fenmore Condominium,Yes,Multifamily Housing,"1109-1111 Boylston Street, 50, 52, 56, 60 and 64 Charlesgate East",02215," 107,517 ",125.3,51,,Multifamily Housing,1930,797,7.4," 13,471,840 ",14%,86%,0%,81.40,,,,504165000
Fens Stadium,Municipal,Other,Parkdrath St Fld,02215," 1,000 ",313.6,Not applicable to this property type,,Other,2000,30.3, 30.3 ," 313,607 ",100%,0%,0%,,,,,
Fenway By The Park Condominium,Yes,Multifamily Housing,125-131 Park Drive,02215," 49,150 ",111.5,58,,Multifamily Housing,1950,324.2,6.6," 5,482,588 ",14%,86%,0%,45.73,,,,0504275000
Fenway Park,Yes,Stadium (Open),4 Yawkey Way,02215," 687,589 ",107.2,Not applicable to this property type,,Stadium (Open),1912,6133.2,8.9," 73,682,269 ",69%,31%,0%,,,,,Not Available
Fenway Views Condominium,Yes,Multifamily Housing,"104, 106 &108 Peterborough Street, 51-67 Kilmarnock Street",02215," 44,927 ",94.6,55,,"Multifamily Housing, Parking",1990,263.3,6.1," 4,094,230 ",26%,74%,0%,70.42,,,,2100033010
Harvard School of Public Health - Shattuck Int’l House,Yes,Multifamily Housing,203 Park Drive,02215," 60,077 ",64.8,88,"2014, 2013, 2012, 2006",Multifamily Housing,1920,249.4,4.2," 3,893,079 ",25%,75%,0%,31.84,,,,2100005010
Harvard Vanguard Medical Associates,Yes,Medical Office,133 brookline Ave,02215," 380,667 ",206.4,Not Available,,"Data Center, Medical Office, Parking",1900,4507.2,16.2," 57,522,513 ",58%,42%,0%,658.43,,This was first reported without a data center in error Data center Added,,2100074000
Hotel Commonwealth,Yes,Hotel,500 Commonwealth Ave.,02215," 184,208 ",126.4,20,,Hotel,2002,1702.1,9.2," 23,278,286 ",46%,54%,0%,59.34,,"The entire first level has been sold as retail space to a new owner. The building is legally a 2 unit condo consisting of a retail unit (approx. 28,000 sf) and a hotel unit (approx. 156,000 sf).",,0503952100
HUH - Trilogy (170 Brookline Ave),Yes,Multifamily Housing,170 Brookline Avenue,02215," 142,773 ",68.4,21,,Multifamily Housing,2006,741.8,5.2," 9,763,319 ",52%,48%,0%,39.69,,"Boston Data
170 BROOKLINE AVE
Parcel 2100051018	",,2100051018
Kenmore Tower Corporation: 566 Commonwealth Avenue,Yes,Multifamily Housing,566 Commonwealth Avenue,02215," 176,000 ",80.7,32,,Multifamily Housing,1965,1087,6.2," 14,195,810 ",22%,12%,0%,22.65,,,,0504140001
Landmark Center,Yes,Office,401 Park Drive,02215," 1,003,987 ",104.1,86,"2014, 2013","Data Center, Non-Refrigerated Warehouse, Office, Other - Mall, Retail Store",1928,8687.5,8.7," 104,494,249 ",69%,31%,0%,15.10,,,,2100077000
Lincoln Halls at Park Drive Condominium,Yes,Multifamily Housing,11-15 Park Drive,02215," 52,865 ",83.6,75,,Multifamily Housing,1920,264.8,5," 4,417,899 ",16%,84%,0%,36.91,,,,0504213000
Longwood Galleria,Yes,Mixed Use Property,400 Brookline Avenue,02215," 295,857 ",154.4,Not applicable to this property type,,"Hotel, Multifamily Housing, Office, Other, Other - Restaurant/Bar, Parking, Retail Store",1969,3815.2,13," 45,199,526 ",65%,14%,21%,62.62,,,,0401914000
MCKINLEY MILMORE,Municipal,K-12 School,97 Peterborough St.,02215," 19,819 ",66.8,92,,K-12 School,1929,80.5, 4.1 ," 1,323,836 ",18%,82%,0%,0.76,,,,
MCKINLEY ST MARYS,Municipal,K-12 School,50 St. Marys St.,02215," 17,299 ",46.3,99,,K-12 School,1923,50.1, 2.9 ," 801,011 ",22%,78%,0%,0.84,,,,
Medical Area Total Energy Plant,Yes,Energy/Power Station,474 Brookline Avenue,02215," 259,500 ",103.4,Not applicable to this property type,,Energy/Power Station,1980,1940.9,7.5," 26,819,999 ",23%,0%,69%,3.49,,"MATEP generates steam, chilled water and electricity from the on-site combustion of natural gas and fuel oil for distribution to customers and to supply the MATEP building with steam for space heating, chilled water for space cooling, and electricity for lighting and the operation of equipment not related to energy generation (the MATEP building is analogous to a MATEP ""customer""). MATEP also purchases electricity. However, all of the purchased electric power is either consumed by equipment used to generate energy (i.e. chillers) or is passed directly on to customers. Building energy use is calculated based on estimated equipment loads.

MATEP uses water supplied by the Boston Water & Sewer Commission/MWRA to produce boiler feed and chilled water, exhaust waste heat to the atmosphere via evaporation, and operate and cool energy generation equipment. A small portion of this water is also used to supply the building itself for sanitary purposes. Building water use is estimated.",,0401930000
Park Associates,Yes,Multifamily Housing,231 Park Drive,02215," 40,000 ",170.3,6,,Multifamily Housing,1920,424.4,10.6," 6,810,636 ",21%,79%,0%,76.03,,,,2100029000
Peabody Hall,Yes,Residence Hall/Dormitory,210 Riverway,02215," 60,656 ",86.8,78,,Residence Hall/Dormitory,1910,332.4,5.5," 5,265,232 ",23%,77%,0%,1.69,,,,0401998000
Peterborough Housing: Peterborough Housing,Yes,Multifamily Housing,82 Peterborough Street,02215," 225,592 ",75.9,58,,Multifamily Housing,1978,1300.7,5.8," 17,117,588 ",18%,10%,0%,45.83,,,,0504305000
PHS-BWH-Boston Lying In,Yes,Outpatient Rehabilitation/Physical Therapy,221 Longwood Avenue,02215," 247,418 ",415.7,Not applicable to this property type,,Outpatient Rehabilitation/Physical Therapy,1930,7150,28.9," 102,846,844 ",26%,0%,46%,19.81,,,,0401845000
Queensberry Court Condominium,Yes,Multifamily Housing,62-66 Queensberry St,02215," 48,000 ",16.2,100,,Multifamily Housing,1920,73.6,1.5," 775,830 ",96%,4%,0%,46.12,,,,504283000
Riverway House,Yes,Residence Hall/Dormitory,160-162 Riverway,02215," 36,940 ",51.5,88,,Residence Hall/Dormitory,1910,137.5,3.7," 1,901,081 ",44%,56%,0%,3.03,,,,0402000000
Riverway Square Condominium,Yes,Multifamily Housing,even only 114-122 Riverway,02215," 64,400 ",64.8,95,,Multifamily Housing,1920,264.6,4.1," 4,170,763 ",24%,76%,0%,25.87,,,,402005000
Somerset Condominium,Yes,Multifamily Housing,"400, 416, 418 Commonwealth Ave, 429 Newbury Street",02215," 155,880 ",63,67,,"Multifamily Housing, Office",1897,835.5,5.4," 9,815,172 ",73%,27%,0%,30.02,,,,503809000
The Charlesview Condominium,Yes,Other - Lodging/Residential,534 Beacon Street ,02215," 518,155 ",7.5,Not applicable to this property type,,Other - Lodging/Residential,2001,283.3,0.5," 3,874,951 ",46%,54%,0%,114.77,,"This is a condominium building. There is not parking garage located at the building.  There is a small parking lot located at the rear of the building.  Parking spaces are not equal to the amount of condo units located in the building. 
",,0503703000
The Eliot Hotel,Yes,Not Available,370 Commonwealth avenue,02215, Not Available ,Not Available,Not Available,,Not Available,1925,Not Available,Not Available, Not Available ,0%,0%,0%,,,,,0503800000
The Viridian,Yes,Multifamily Housing,1282 Boylston Street,02215," 359,560 ",15.5,100,,"Multifamily Housing, Parking, Retail Store",2014,374.9,1.4," 4,217,567 ",82%,18%,0%,1.48,,This property was under construction in 2013 and 2014.  The first tenant moved in 5/1/2015.,,0504225000
Windsor Place Condominium,Yes,Multifamily Housing,"388, 390 and 396 Commonwealth Avenue",02215," 120,295 ",75.3,69,,"Multifamily Housing, Office",1897,625.6,5.2," 9,061,630 ",37%,63%,0%,30.84,,,,503810000
MA0153ZZ - TP O'NEILL FED BLDG,Yes,Office,10 CAUSEWAY STREET,02222," 847,497 ",40,97,"2014, 2012, 2011, 2005, 2000","Office, Parking",1986,2658.5,3.4," 30,955,602 ",76%,24%,0%,5.81,30384.7,,,0301920000
83 Ivy Street,Yes,Multifamily Housing,83 Ivy Street,02446," 39,700 ",0.3,100,,Multifamily Housing,1981,1.2,0," 11,945 ",100%,0%,0%,,,,,Not Available
830-846 Commonwealth Avenue,Yes,Strip Mall,830-846 Commonwealth Avenue,02446," 36,153 ",45.6,Not applicable to this property type,,Strip Mall,1966,135.1,3.7," 1,647,735 ",36%,2%,0%,4.06,,Strip Mall? ,,Not Available
