Building Energy and Water Use Metrics,,,,,,,,,,,,,,,,,electricity,3.1400,,,,,
City of Boston Environment Department - Building Energy Reporting and Disclosure Ordinance,,,,,,,,,,,,,,,,,natural gas,1.0500,,,,,
"Energy and water use metrics for large buildings in calendar year 2015, as submitted by buildings for Boston's energy reporting ordinance. For more information, please visit berdo.greenovateboston.org. Field name definitions are on the second tab.",,,,,,,,,,,,,,,,,electricity solar,1.0000,,,,,
"September 28, 2016",,,,,,,,,,,,,,,,,steam,1.2000,,,,,
,,,,,,,,,,,,,,,,,source:,https://portfoliomanager.zendesk.com/hc/en-us/articles/216670148-What-are-the-Site-to-Source-Conversion-Factors-,,,,,
SFH-48 Boylston St. LLC,Yes,Other,48 Boylston St. ,02116,85000,18.1,Not Available,,Other,1875,97.1,1.1,1535396.3,23%,77%,,0.2,,,,Not Available,2016,
SFR Holdings LLC,Yes,Office,1550 Soldiers Field Road,02135,44800,28.8,Not Available,,Office,1955,124.8,2.8,1290377.5,100%,,,5.2,,"Data was manually entered

Boston Assessing Parcel ID: 2202760000",,Not Available,2016,
Shad Hall,Yes,Mixed Use Property,70 North Harvard Street,02163," 132,424 ",129.8,Not Available,,"Data Center, Office, Other - Recreation",1990,1327.4,10.0," 17,194,649 ",50%,33%,17%,15.3,24449,"Shad Hall has its own water meter.
Shad data center electric meter is a submeter of the building electric meter. 

A 25 kW solar PV system was installed approx. 10 years ago.",,2200530000,"2014, 2015, 2016",
Shapiro Cardiovascular Center,Yes,Hospital (General Medical & Surgical),70 Francis Street,02115,436095.9,418.2,1,,Hospital (General Medical & Surgical),2008,12603.5,28.9,182392588.5,40%,0%,60%,73.7,,"This account is now also services 400,000 SF laboratory building under construction.  EUI no longer accurate.  Began service to construction site in January 2015.  Estimate about 800,000 kWh per month going to the new building at this time.",,1000247010,"2015, 2016",
Shattuck Int’l House,Yes,Multifamily Housing,203 Park Drive,02215," 60,077 ",63,90,"2015, 2014, 2013, 2012, 2006",Multifamily Housing,1920,243.5,4.1," 3,784,103 ",26%,74%,,36.7,,,,2100005010,2016,
SHAW PA,Municipal,K-12 School,429 Norfolk St.,02124,32706,41,100,,K-12 School,1919,80.8,2.5,1339451.7,16%,84%,,,,,,Not Available,2016,
SHAW RG,Municipal,K-12 School,20 Mt. Vernon St.,02132,93374,58.2,92,,K-12 School,1919,326.7,3.5,5437458.6,16%,84%,,,,,,Not Available,2016,
Shelburne Community Center,Municipal,Other - Recreation,2730 Washington St,02119,25292,157.4,Not Available,,Other - Recreation,2000,262.3,10.4,3981639.2,29%,71%,,,,,,Not Available,2016,
Sheraton Boston,Yes,Hotel,39 Dalton Street,02199," 1,050,000 ",108,56,"2008, 2007, 2002","Hotel, Parking, Restaurant",1965,7677.7,7.3," 113,444,899 ",33%,67%,,36.0,,,,0401037300,"2014, 2015, 2016",
Sherrill House,Yes,Senior Care Community,135 South Huntington Avenue,02130," 117,770 ",120.1,72,,"Parking, Senior Care Community",1970,987.4,8.4," 14,139,111 ",38%,62%,,39.8,,,,1001629000,"2014, 2015, 2016",
Shipways Condominium,Yes,Multifamily Housing,1-48 Shipway Place,02129," 91,379 ",27.6,89,,"Multifamily Housing, Office, Parking",1984,244.4,2.7," 2,526,299 ",100%,,,25.4,,,,203515600,"2015, 2016",
Shops at Riverwood,Yes,Supermarket/Grocery Store,892 River Street,02136," 59,039 ",Not Available,Not Available,,"Other - Mall, Parking, Supermarket/Grocery",2009,Not Available,Not Available, Not Available ,,,,,,,,Not Available,"2015, 2016",
Shore Plaza East,Yes,Multifamily Housing,408-826 Border Street,02128," 297,154 ",137.6,14,,Multifamily Housing,1975,2543.5,8.6," 40,877,485 ",21%,79%,,71.9,,,,0103678000,"2015, 2016",
Shriners Hospitals for Children - Boston,Yes,Other - Specialty Hospital,51 Blossom,02114," 270,000 ",220.2,Not Available,,"Other - Specialty Hospital, Parking",1999,4692.5,17.4," 59,444,712 ",41%,,59%,24.9,,,,Not Available,"2014, 2015, 2016",
Shubert Theatre,Yes,Performing Arts,263-265 Tremont Steet,02116," 24,622 ",199.1,Not Available,,Performing Arts,1910,307.7,12.5," 4,902,146 ",22%,78%,,13.2,,,,Not Available,2016,
Simmons Hall,Yes,College/University,255 Brookline Avenue,02115," 34,400 ",95.7,Not Available,,College/University,1956,201.5,5.9," 3,293,538 ",18%,82%,,32.9,,"Building served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",,0402017000,"2015, 2016",
"Six Beacon Street, LLC",Yes,Office,6 Beacon Street,02108," 90,000 ",37.5,97,,Office,1900,286.7,3.2," 3,374,264 ",73%,27%,,15.1,,,,0304695000,"2014, 2015, 2016",
SMFA Mission Hill,Yes,Other - Education,160 St Alphonsus St,01225," 45,000 ",82.3,Not Available,,Other - Education,1920,281.9,6.3," 3,701,794 ",53%,47%,,2.8,,,,Not Available,"2014, 2016",
Smith Hall,Yes,College/University,54 Pilgrim Road,02115," 32,400 ",118.6,Not Available,,College/University,1964,261.5,8.1," 3,843,658 ",34%,66%,,25.6,,"Building served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",,0402015000,"2015, 2016",
Smith House,Yes,Multifamily Housing,757 Shawmut Avenue,02119," 103,792 ",88.6,56,,Multifamily Housing,1973,579.2,5.6," 9,193,555 ",23%,77%,,45.4,,,,0902505000,2016,
SNOWDEN,Municipal,K-12 School,150 Newbury St.,02116,36400,49.6,89,,K-12 School,1885,130.7,3.6,1804638.1,44%,56%,,,,,,Not Available,2016,
Soldiers Field Park Complex (Roll-Up),Yes,Multifamily Housing,111 Western Avenue,02134," 453,389 ",68.1,78,,Multifamily Housing,1976,2289.7,5.1," 30,868,093 ",26%,,74%,29.8,,"Boston Data
610 640 SOLDIERS FIELD RD	
Parcel 2200480000

Harvard Data (4 spaces)
06118	Soldiers Field Park 1	111 Western Ave	HUH
06115	Soldiers Field Park 2	111 Western Ave	HUH
06116	Soldiers Field Park 3	111 Western Ave	HUH
06117	Soldiers Field Park 4	111 Western Ave	HUH
",,2200480000,"2014, 2015, 2016",
Soldiers Field Park Garage,Yes,Parking,111 Western Avenue,02134," 270,637 ",5.6,Not Available,,Parking,1975,146.6,0.5," 1,515,544 ",100%,,,,,"Boston Data
610 640 SOLDIERS FIELD RD
Parcel	2200480000

Harvard Data
Root	06114
Soldiers Field Park Garage	
111 Western Ave
TS
",,2200480000,"2014, 2015, 2016",
Somerset Condominium,Yes,Multifamily Housing,"400, 416, 418 Commonwealth Ave, 429 Newbury Street",02215," 155,880 ",62.8,68,,"Multifamily Housing, Office",1897,833.1,5.3," 9,782,256 ",73%,27%,,32.1,,,,503809000,"2015, 2016",
Sophine LPS,Yes,Multifamily Housing,150 Huntington Avenue,02115," 287,281 ",94.5,10,,"Multifamily Housing, Parking",1980,2046.9,7.1," 27,148,532 ",51%,49%,,61.8,,,,0400864000,"2015, 2016",
South Bay Center: South Bay Center,Yes,Retail Store,8 Allstate Road,02125," 572,434 ",2.5,Not Available,,"Parking, Retail Store",2005,39.4,0.1," 1,422,535 ",97%,3%,,24.9,291363,"
Number of buildings: 3",,Not Available,"2014, 2015, 2016",
South Boston Branch,Municipal,Library,646 East Broadway,02127,10800,77,Not Available,,Library,2000,57,5.3,831187.4,35%,65%,,,,,,Not Available,2016,
South Boston Elderly,Yes,Multifamily Housing,120 H Street,02127," 25,500 ",2192.8,1,,Multifamily Housing,1985,3015.1,118.2," 55,915,792 ",2%,98%,,58.3,,,,0602147000,"2015, 2016",
south boston health center,Yes,Medical Office,409 west broadway,02127," 40,000 ",124.7,17,,Medical Office,1885,391.9,9.8," 4,988,744 ",58%,42%,,8.3,,info taken from monthly bills,,0601141000,2016,
SOUTH BOSTON HS,Municipal,K-12 School,95 G St.,02127,160270,98.7,51,,K-12 School,1901,918,5.7,15818863.7,11%,89%,,,,,,Not Available,2016,
South Cove Plaza: 230 Stuart Street,Yes,Multifamily Housing,230 Stuart St,02116," 139,560 ",44.1,85,,Multifamily Housing,1982,482.1,3.5," 6,148,569 ",58%,42%,,55.5,,,,0500800000,"2015, 2016",
South Cove Plaza: 285 Tremont St,Yes,Multifamily Housing,285 Tremont St,02116," 84,050 ",86.6,34,,Multifamily Housing,1982,484.4,5.8," 7,281,325 ",31%,69%,,53.5,,,,0500066000,"2015, 2016",
South End Branch,Municipal,Library,685 Tremont St,02118,11342,53.5,Not Available,,Library,2000,48.2,4.3,606404.2,61%,39%,,,,,,Not Available,2016,
South Hall,Yes,College/University,321 Brookline Avenue,02115," 26,100 ",102.5,Not Available,,College/University,1905,169.9,6.5," 2,674,802 ",24%,76%,,64.8,,"Building served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",,0402012000,"2015, 2016",
Spangler Center,Yes,Other - Entertainment/Public Assembly,117 Western Ave,02163," 139,437 ",122.7,Not Available,,Other - Entertainment/Public Assembly,2000,1245.4,8.9," 17,115,565 ",28%,17%,55%,21.9,,"Water is allocated by gross square footage for this property, and does not represent actual usage",,2200490000,"2014, 2015, 2016",
Sparrow Enterprises Ltd,Yes,Manufacturing/Industrial Plant,98r Condor Street,02128," 46,000 ",28.8,Not Available,,Manufacturing/Industrial,1986,83.9,1.8," 1,324,964 ",23%,77%,,2.4,,,,Not Available,2016,
Special Operations Fire,Municipal,Fire Station,108 Holton Street,02135,11500,271.7,Not Available,,Fire Station,2000,172.3,15,3124895.3,5%,95%,,,,,,Not Available,2016,
Special Operations Police,Municipal,Police Station,3 Edgewood St,02119,20000,173.7,Not Available,,Police Station,2000,233.7,11.7,3473407.2,32%,68%,,,,,,Not Available,2016,
SPIRE 65 BAY ST LLC,Yes,Manufacturing/Industrial Plant,65 BAY STREET,02125," 75,000 ",130.4,Not Available,,Manufacturing/Industrial,2001,916.8,12.2," 9,779,182 ",93%,7%,,612.7,,,,1503130010,"2014, 2015, 2016",
Springhouse Inc,Yes,Senior Care Community,44 Allandale Street ,02130," 172,770 ",133,4,,Senior Care Community,1996,1497.5,8.7," 22,979,880 ",28%,72%,,27.2,,,,2003594000,"2015, 2016",
SS Brighton MA LLC,Yes,Self-Storage Facility,145 N. Beacon St.,02135," 128,855 ",17.4,Not Available,,Self-Storage Facility,2007,180.1,1.4," 2,238,485 ",63%,37%,,0.5,,,,2201904000,"2014, 2015, 2016",
SSFC,Yes,Financial Office,One Lincoln Street,02111," 1,043,218 ",124,70,,"Data Center, Financial Office, Parking, Restaurant",2003,12330.0,11.8," 129,332,337 ",97%,3%,,18.2,,,,0304246010,"2014, 2015, 2016",
St Germain,Yes,Multifamily Housing,8-67 St Germain Street,02116," 159,042 ",21.2,100,,Multifamily Housing,1900,299.4,1.9," 3,368,702 ",82%,18%,,42.6,,,,0401229000,"2015, 2016",
St Joseph's Community Inc,Yes,Multifamily Housing,86 Crispus Attucks Pl,02119," 140,932 ",82.2,96,,Multifamily Housing,1990,636.7,4.5,"11,584,002.0",4%,96%,,8.3,,,,0903820000,2016,
St. Ann Hall,Yes,Residence Hall/Dormitory,410 The Fenway,02115," 49,803 ",65,82,,Residence Hall/Dormitory,1962,214.6,4.3," 3,238,770 ",30%,70%,,26.5,,"In August 2014, we replaced an aging boiler with a high-efficiency condensing boiler.

Between October 2014 and January 2015, we upgraded 215 lighting fixtures to the latest LED technology. We expect to see an annual savings of approximately 73,000 kWh in this building.

http://www.emmanuel.edu/discover-emmanuel/campus/sustainability/campus-initiatives.html",,0401847000,"2014, 2015, 2016",
St. Elizabeth Medical Center,Yes,Hospital (General Medical & Surgical),736 Cambridge Street,02135," 651,000 ",215.3,91,,Hospital (General Medical & Surgical),1960,9055.1,13.9," 140,182,156 ",26%,74%,,22.9,,,,2101836000 2101835100,"2014, 2015, 2016",
St. Helena's House: 89 Union Park Street,Yes,Multifamily Housing,89 Union Park St,02118," 85,828 ",60.3,80,,Multifamily Housing,1986,342.5,4.0," 5,171,306 ",30%,70%,,40.2,,,,0801080000,"2015, 2016",
St. Joseph Hall,Yes,Residence Hall/Dormitory,430 The Fenway,02115," 94,450 ",44.8,90,,Residence Hall/Dormitory,1966,301.7,3.2," 4,232,422 ",42%,58%,,38.3,,"Between October 2014 and January 2015, we upgraded 394 lighting fixtures to the latest LED technology. We expect to see an annual savings of approximately 135,000 kWh in this building.

http://www.emmanuel.edu/discover-emmanuel/campus/sustainability/campus-initiatives.html

The gas meter was broken between August, 2015 - January, 2016. Therefore, the usage amounts are estimated based on the monthly charges. ",,0401847000,"2014, 2015, 2016",
Stables,Municipal,Police Station,165 Allandale St,02120,3440,214.1,Not Available,,Police Station,2000,7.8,2.3,736640,11%,,,,,,,Not Available,2016,
"Standish Village TRS, LLC",Yes,Senior Care Community,1190 Adams St,02124," 76,430 ",105.6,Not Available,,Senior Care Community,1880,560.0,7.3," 8,074,124 ",37%,63%,,73.1,,Reporting was completed by a tenant who leases the whole building.,,1703663030,"2015, 2016",
State Transportation Building ,Yes,State Office Building,10 Park Plaza,02116,901000,52,0,0,"State Office Building, Office",1984,4522.3,,46932216,79%,,21%,,,,,,2016,
Station 06 (inactive),Municipal,Police Station,273 D St,02127,18084,Not Available,Not Available,,Police Station,2000,0,0,Not Available,,,,,,,,Not Available,2016,
Sterling Suffolk Race Cource LLC,Yes,Other - Entertainment/Public Assembly,525 McClellan Highway,02128," 7,100,280 ",Not Available,Not Available,,"Other - Entertainment/Public Assembly, Parking",1935,0.0,0.0, Not Available ,,,,,,,,Not Available,"2014, 2016",
Stillman Tennis Center,Municipal,Fitness Center/Health Club/Gym,44 Terminal St,02129,64320,27.1,Not Available,,Fitness Center/Gym,2000,92.7,1.4,1746200.2,,100%,,,,,,Not Available,2016,
Stony Brook Commons,Yes,Multifamily Housing,390 Blue Ledge Drive,02131," 459,000 ",74.3,97,,Multifamily Housing,1900,1873.9,4.1," 34,086,015 ",4%,96%,,67.1,,,,1806016400,"2015, 2016",
Stony Brook Village,Yes,Multifamily Housing,145 Navarre St,02136," 77,407 ",124.4,18,,Multifamily Housing,1964,572.3,7.4," 9,626,873 ",15%,85%,,5894.5,,,,1806881000,"2015, 2016",
Storage,Municipal,Fire Station,302 Northern Ave,02210,5000,18.7,Not Available,,Fire Station,2000,9,1.8,93502.4,100%,,,,,,,Not Available,2016,
STP LLC,Yes,Retail Store,477 481 Washington Street,02111," 171,918 ",Not Available,Not Available,,"Office, Retail Store",1920,Not Available,Not Available, Not Available ,,,,,,,,Not Available,"2014, 2015, 2016",
Strand Theatre,Municipal,Other,543 Columbia Rd,02125,18000,278,Not Available,,Other,2000,344.3,19.1,5004878.2,36%,64%,,,,,,Not Available,2016,
Street Light Yard,Municipal,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",327 Forest Hills Street,02130,4320,111.4,Not Available,,Repair Services,2000,23.5,5.4,481371,51%,,,,,,,Not Available,2016,
Streetlighting Yard PWD,Municipal,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",430 Canterbury St,02131,9150,25.4,Not Available,,Repair Services,2014,22.5,2.5,232824.7,100%,,,,,,,Not Available,2016,
Stress Unit,Municipal,Police Station,249 River St,02126,3115,80.3,Not Available,,Police Station,2000,15.7,5,249982.8,22%,78%,,,,,,Not Available,2016,
SUMNER,Municipal,K-12 School,15 Basile St.,02131,49105,57.2,95,,K-12 School,1931,168.4,3.4,2811109.5,16%,84%,,,,,,Not Available,2016,
Sumner Hill House Condos: Sumner Hill House Condos,Yes,Multifamily Housing,76 Elm Street,02130," 95,501 ",52.8,87,,Multifamily Housing,1985,334.9,3.5," 5,041,273 ",31%,69%,,23.8,,"Double pane windows, Sonifil White Roof - Asphalt Roof and Slate Roof ---- Boiler upgraded in 2016",,1901237000,2016,
Symphony Court Condo,Yes,Multifamily Housing,41 Westland Ave,02115," 72,000 ",30.8,99,,Multifamily Housing,1960,165.1,2.3," 2,218,755 ",49%,51%,,17.1,,,,0401482000,"2015, 2016",
Symphony East: 334 Massachusetts Ave,Yes,Multifamily Housing,334 Massachusetts Ave,02115," 154,105 ",66.4,65,,Multifamily Housing,1978,724.3,4.7," 10,235,725 ",40%,60%,,44.0,,,,0402295000,2016,
Symphony West: 333 Massachusetts Ave,Yes,Multifamily Housing,333 Massachusetts Ave,02115," 174,779 ",78.4,43,,Multifamily Housing,1978,960.3,5.5," 13,706,279 ",39%,61%,,42.4,,,,0402277000,2016,
TAFT,Municipal,K-12 School,20 Warren St.,02135,113199,59.5,89,,K-12 School,1895,409.4,3.6,6733926.3,18%,82%,,,,,,Not Available,2016,
Tai Tung Village,Yes,Multifamily Housing,232 Harrison Avenue,02111," 596,474 ",39.3,100,,"Multifamily Housing, Parking",1973,1307.0,2.2," 23,428,839 ",6%,94%,,28.7,,,,0305021000,"2015, 2016",
Taj Boston,Yes,Hotel,15 Arlington Street,02116," 178,000 ",121017.9,1,,Hotel,1927,1430855.6,8038.5," 21,541,179,753 ",0%,0%,100%,158.0,,,,Not Available,2016,
Tata Hall,Yes,Residence Hall/Dormitory,53 Harvard Way,02163," 157,587 ",56.8,84,,Residence Hall/Dormitory,2012,653.0,4.1," 8,943,184 ",46%,54%,,22.9,82620,"Water is allocated by gross square footage for this property, and does not represent actual usage

A 71 kW solar PV system had been installed at Tata Hall in November 2013.",,2200530000,"2014, 2015, 2016",
TAYLOR,Municipal,K-12 School,1060 Morton St.,02126,51389,38.3,99,,K-12 School,1931,124.8,2.4,1970355.4,23%,77%,,,,,,Not Available,2016,
TD Garden,Yes,Indoor Arena,100 Legends Way,02114," 755,000 ",105.8,Not Available,,"Indoor Arena, Parking",1995,6643.9,8.8," 79,882,210 ",69%,31%,,24.3,,,,0301925100,"2014, 2015, 2016",
Teele Hall,Yes,Office,230 Western Ave,02134," 52,688 ",67.8,68,,Office,1984,328.1,6.2," 3,570,738 ",89%,11%,,14.7,,,,2201058010,"2014, 2015, 2016",
Temple Bnai Moshe,Yes,Worship Facility,16 Sidlaw rd,02135," 32,425 ",26.6,93,,"Parking, Worship Facility",1934,56.0,1.7," 862,282 ",27%,73%,,4.8,,,,2102533000,2016,
Tenean Properties,Yes,Office,60 Tenean Street,02122," 48,399 ",51.6,97,,Office,1968,160.3,3.3," 2,495,263 ",26%,74%,,0.2,,,,1602580000,2016,
Tent City,Yes,Multifamily Housing,130 Dartmouth Street,02116," 327,174 ",79.0,46,,"Multifamily Housing, Retail Store",1987,1814.7,5.5,"25,853,154.1",39%,61%,,40.3,,,,0400600040,"2015, 2016",
"Teraview Investments, LLC",Yes,Office,1000 Washington Street,02118," 242,240 ",81.1,67,,Office,1900,1616.4,6.7," 19,643,296 ",67%,33%,,15.2,,,,0306234010,"2014, 2016",
The Atlantic Building,Yes,Office,400 Atlantic Avenue,02210,104690,81.4,79,,Office,1984,694.7,6.6,8523734.5,65%,35%,,11.5,,,,0302960000,"2014, 2015, 2016",
The Biewend Building,Yes,Medical Office,250 Tremont Street,02116," 154,528 ",70898.6,1,,Medical Office,1924,727620.2,4708.7," 10,955,810,971 ",0%,,100%,14.5,,,,Not Available,"2014, 2015, 2016",
The Blackstone Apartments,Yes,Multifamily Housing,33 Blossom Street,02114,129648,59.4,86,,Multifamily Housing,1978,516.3,4.0,7704342.4,32%,68%,,36.6,,,,0300670000,"2015, 2016",
The Boston Conservatory,Yes,College/University,8 Fenway,02215," 45,738 ",86.3,Not Available,,College/University,1899,262.6,5.7," 3,947,707 ",31%,69%,,17.6,,,,Not Available,2016,
The Boston Conservatory,Yes,College/University,31 Hemenway St,02115," 39,900 ",122.5,Not Available,,College/University,2010,357.3,9.0," 4,886,540 ",46%,54%,,6.5,,,,Not Available,2016,
The Boston Globe,Yes,Other,135 William T. Morrissey Blvd.,02205," 710,000 ",91.1,Not Available,,"Other, Parking",1958,6189.8,8.7," 64,651,689 ",98%,2%,,20.7,,,,1302364050,"2014, 2015, 2016",
"The Bostonian Boston, a Millennium Hotel",Yes,Hotel,26 North Street,02109,204900,87,60,,Hotel,1982,1353.2,6.6,17821518.6,52%,48%,,28.5,,,,0303365000,"2014, 2015, 2016",
The Colonnade Hotel,Yes,Hotel,120 Huntington Avenue,02116," 276,439 ",147.5,48,,Hotel,1971,2657.0,9.6," 40,762,949 ",28%,72%,,72.6,,,,Not Available,"2014, 2015, 2016",
The Colonnade Residences,Yes,Multifamily Housing,118 Huntington Avenue,02116," 172,000 ",103.9,Not Available,,"Multifamily Housing, Parking",2002,1167.7,6.8," 17,864,081 ",28%,72%,,27.4,,,,0400905010,"2015, 2016",
The Copley Condominium,Yes,Multifamily Housing,271 Dartmouth St,02116," 53,000 ",60.3,60,,Multifamily Housing,1871,260.4,4.9," 3,197,880 ",65%,35%,,61.8,,Gross floor area was estimated using the total rentable area plus common areas.,,501312000,"2015, 2016",
The Corner Mall,Yes,Office,413 Washington Street,02108," 212,515 ",108.8,52,,"Office, Performing Arts, Retail Store",1925,1749.4,8.2," 23,119,254 ",46%,36%,17%,36.9,,"This is a mixed use office/retail/food court/theatre building.
",,0304738000,"2014, 2015, 2016",
The Eliot Hotel,Yes,Hotel,370 Commonwealth avenue,02215," 72,950 ",Not Available,Not Available,,Hotel,1925,Not Available,Not Available, Not Available ,,,,,,,,0503800000,"2014, 2015, 2016",
"The First Church of Christ, Scientist (plaza)",Yes,Office,210 Massachusetts Avenue,02115," 1,081,190 ",123.7,Not Available,,"Museum, Office, Parking, Worship Facility",1934,8638.8,8.0," 133,700,447 ",26%,73%,,11.6,,"This multi-building property consists of 5 bldgs (Publishing House Bldg at 210 Mass Ave; Church at 250 Mass Ave;  Reflection Hall at 235 Huntington Ave; Colonnade at 101 Belvidere;  and underground parking garage at 195 Huntington Ave)  spanning three parcels.  The property includes a data center, reflection pool, spray park fountain and 10 acres of open plaza.
One electric meter services all of the bldgs/equipment.  Electricity consumed by the reflection pool, fountain, and plaza are estimated and subtracted from the total metered electricity.  One natural gas meter services all of the buildings.  Water used for the reflection pool and plaza,  fountain, church irrigation system, and church recharge wells is not included in the water data reported.  The data center is powered by two metered UPS systems that provide only real time data and is included in the Office use and it's 32 servers are included in the # of computers.  Two new fuel oil ASTs were installed and filled in Feb 2015.

",,0401185000 0401150000 0401162000,"2014, 2015, 2016",
